172.19.0.1 - - [30/Mar/2025:22:13:17 +0000] "GET / HTTP/1.1" 404 19 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; ru-RU) WindowsPowerShell/5.1.22621.4391" "-"
172.19.0.1 - - [30/Mar/2025:22:15:50 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-"
172.19.0.1 - - [30/Mar/2025:22:15:50 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-"
172.19.0.1 - - [30/Mar/2025:22:15:50 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-"
172.19.0.1 - - [30/Mar/2025:22:15:51 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-"
172.19.0.1 - - [30/Mar/2025:22:15:51 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-"
172.19.0.1 - - [31/Mar/2025:01:21:59 +0000] "GET /api/v1/universities/1/edprogrammes/ HTTP/1.1" 200 95 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:22:01 +0000] "GET /api/v1/universities/1/edprogrammes/ HTTP/1.1" 200 95 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:22:01 +0000] "POST /api/v1/students/add HTTP/1.1" 200 18 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:22:02 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:22:04 +0000] "GET /api/v1/students HTTP/1.1" 200 757 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:22:08 +0000] "GET /api/v1/students HTTP/1.1" 200 757 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:22:22 +0000] "POST /api/v1/projects/add HTTP/1.1" 200 18 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:22:23 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:22:24 +0000] "GET /api/v1/projects/ HTTP/1.1" 200 2226 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:22:27 +0000] "GET /api/v1/projects/15 HTTP/1.1" 200 331 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:22:28 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:22:32 +0000] "GET /api/v1/projects/15/statistics HTTP/1.1" 200 95 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:22:35 +0000] "GET /api/v1/projects/15/commits?from=2025-03-01T00:00:00.000Z HTTP/1.1" 200 172 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:22:38 +0000] "GET /api/v1/projects/15/tasks HTTP/1.1" 200 13 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:23:08 +0000] "POST /api/v1/projects/15/tasks/add HTTP/1.1" 200 14 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:23:11 +0000] "GET /api/v1/projects/15/tasks HTTP/1.1" 200 230 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:23:42 +0000] "POST /api/v1/meetings/add HTTP/1.1" 200 17 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:23:42 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:23:44 +0000] "GET /api/v1/meetings?from=2025-03-31T00:00:00.000Z HTTP/1.1" 200 572 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:33:28 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:33:28 +0000] "GET /api/v1/account HTTP/1.1" 200 137 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:33:30 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:33:31 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:33:54 +0000] "GET /api/v1/students HTTP/1.1" 200 769 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:34:07 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:34:11 +0000] "GET /api/v1/projects/ HTTP/1.1" 200 2226 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:34:14 +0000] "GET /api/v1/students HTTP/1.1" 200 920 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:39:25 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:39:25 +0000] "GET /api/v1/account HTTP/1.1" 200 137 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:39:27 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:39:28 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:39:54 +0000] "POST /api/v1/projects/add HTTP/1.1" 200 18 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:39:54 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
